:START_ID,:END_ID,:TYPE,ratio,rule_type,description
rajas,anu,HAS_DIMENSION_RATIO,8.0,MEASUREMENT,A speck of dust (rajas) is dimensionally equivalent to eight atoms (aṇu).
valagra,rajas,HAS_DIMENSION_RATIO,8.0,MEASUREMENT,The tip of a hair (vālāgra) is dimensionally equivalent to eight specks of dust (rajas).
likusa,valagra,HAS_DIMENSION_RATIO,8.0,MEASUREMENT,A nit (likṣā) is dimensionally equivalent to eight tips of a hair (vālāgra).
yuka,likusa,HAS_DIMENSION_RATIO,8.0,MEASUREMENT,A louse (yūka) is dimensionally equivalent to eight nits (likṣā).
yava,yuka,HAS_DIMENSION_RATIO,8.0,MEASUREMENT,A barley grain (yava) is dimensionally equivalent to eight lice (yūka).
angula_2,yava,HAS_DIMENSION_RATIO,8.0,MEASUREMENT,One digit (aṅgula) is dimensionally equivalent to eight barley grains (yava).
vitasti_2,angula_2,HAS_DIMENSION_RATIO,12.0,MEASUREMENT,One span (vitasti) is dimensionally equivalent to twelve digits (aṅgula).
hasta_3,vitasti_2,HAS_DIMENSION_RATIO,2.0,MEASUREMENT,"One cubit (hasta) is dimensionally equivalent to two spans (vitasti), or 24 digits (aṅgula)."
prajapatya,angula_2,HAS_DIMENSION_RATIO,25.0,MEASUREMENT,The prājāpatya cubit is a specific unit of measurement equivalent to twenty-five digits (aṅgula).
dhanurmusti,angula_2,HAS_DIMENSION_RATIO,26.0,MEASUREMENT,"The dhanurmuṣṭi cubit is a specific unit of measurement equivalent to twenty-six digits (aṅgula), primarily used for buildings."
dhanurgraha,angula_2,HAS_DIMENSION_RATIO,27.0,MEASUREMENT,"The dhanurgraha cubit is a specific unit of measurement equivalent to twenty-seven digits (aṅgula), primarily used for villages."
danda_5,hasta_3,HAS_DIMENSION_RATIO,4.0,MEASUREMENT,One pole (daṇḍa) is dimensionally equivalent to four cubits (hasta).
rajju_3,danda_5,HAS_DIMENSION_RATIO,8.0,MEASUREMENT,One rope (rajju) is dimensionally equivalent to eight poles (daṇḍa).
angula_2,māna,SYNONYM_OF,,DEFINITION,The term 'māna' (measure) is used as a synonym for 'aṅgula' (digit).
hasta_3,aratni,SYNONYM_OF,,DEFINITION,The term 'ratni' is used as a synonym for 'hasta' (cubit).
hasta_3,aratni,SYNONYM_OF,,DEFINITION,The term 'aratni' is used as a synonym for 'hasta' (cubit).
hasta_3,bhuja,SYNONYM_OF,,DEFINITION,The term 'bhuja' is used as a synonym for 'hasta' (cubit).
hasta_3,bāhu,SYNONYM_OF,,DEFINITION,The term 'bāhu' is used as a synonym for 'hasta' (cubit).
hasta_3,kara_2,SYNONYM_OF,,DEFINITION,The term 'kara' is used as a synonym for 'hasta' (cubit).
danda_5,yasti,SYNONYM_OF,,DEFINITION,The term 'yaṣṭi' is used as a synonym for 'daṇḍa' (pole).
matrangula,angula_2,IS_A,,DEFINITION,The mātrāṅgula is a specific type of aṅgula (digit) defined by the length of the middle phalanx of the middle finger of the officiating priest. It is prescribed for measurements related to sacrifices.
